,mean MSL,compound Prob,node Tier,useNode,compoundLevel
0,0.5003867006295893,0.75,3,0,0
1,0.3720316049744829,0.5420513580835348,2,1,3
2,0.5280353802705292,0.75,3,0,0
3,0.23539213823113278,0.3200122246255908,1,1,0
4,0.2736032088246221,0.38210521434001093,1,0,0
5,0.4769566550478065,0.7125545644526856,2,0,0
6,0.40020365663748025,0.5878309420359055,2,1,3
7,0.4931861223267473,0.7389274487809645,2,0,0
8,0.47912629904817405,0.716080235953283,2,0,0
9,0.25012351145163647,0.3439507061089093,1,1,0
10,0.27862621739082155,0.3902676032600851,1,1,1
11,0.24372037193137358,0.33354560438848213,1,1,3
12,0.2655390802154195,0.36900100535005675,1,1,3
13,0.4642450853795962,0.6918982637418439,2,1,0
14,0.5061521477563536,0.75,3,1,0
15,0.4716024096761669,0.7038539157237713,2,1,3
16,0.37753811163384127,0.5509994314049922,2,1,3
17,0.617689866557054,0.75,3,0,0
18,0.42791101866088604,0.6328554053239399,2,1,2
19,0.4553225742941078,0.6773991832279253,2,0,0
20,0.4805385072670611,0.7183750743089744,2,1,0
21,0.2426160725819562,0.33175111794567885,1,1,0
22,0.2803468446098655,0.39306362249103144,1,1,3
23,0.4793985805860806,0.7165226934523811,2,0,0
24,0.37779828516611424,0.5514222133949357,2,1,0
25,0.5461235945776106,0.75,3,0,0
26,0.47710477063684303,0.7127952522848701,2,0,0
27,0.4818296982888165,0.720473259719327,2,1,3
28,0.2716682828580984,0.37896095964440996,1,1,0
29,0.377448312056385,0.5508535070916257,2,1,0
30,0.24724817283411038,0.33927828085542944,1,1,0
31,0.22124483882861634,0.2970228630965016,0,1,0
32,0.28316563464967004,0.39764415630571387,1,1,0
33,0.45033346213306324,0.6692918759662279,2,0,0
34,0.4815203243745557,0.7199705271086532,2,1,0
35,0.46412860021867375,0.6917089753553449,2,0,0
36,0.22814039021280952,0.3082281340958155,1,1,3
37,0.24776073025538994,0.3401111866650087,1,1,3
38,0.4757819462183233,0.7106456626047755,2,1,0
39,0.23058572355224138,0.3122018007723923,1,1,0
40,0.42102944477981175,0.6216728477671942,2,1,3
41,0.4229634994318684,0.6248156865767862,2,0,0
42,0.5112720433635284,0.75,3,1,0
43,0.4986779757183403,0.7478517105423031,2,1,3
44,0.24744877405203494,0.33960425783455683,1,1,0
45,0.21479808859126742,0.2865468939608096,0,1,0
46,0.2590194445148517,0.3584065973366341,1,1,0
47,0.4922318191499218,0.737376706118623,2,0,0
48,0.2259601722666574,0.30468527993331834,1,1,0
49,0.4000139068107818,0.5875225985675205,2,0,0
50,0.25423015379875624,0.35062399992297894,1,1,1
51,0.36291152685276484,0.527231231135743,2,1,0
52,0.28213391965582535,0.39596761944071623,1,1,3
53,0.4980545846475304,0.746838700052237,2,0,0
54,0.3858972023160532,0.5645829537635865,2,1,0
55,0.23109644810556498,0.3130317281715431,1,1,0
56,0.4753513947675132,0.709946016497209,2,0,0
57,0.41704335421522915,0.6151954505997475,2,0,0
58,0.6059857889807486,0.75,3,1,0
59,0.2890632859969137,0.4072278397449849,1,1,0
